47.62326, -122.34612, 15, 0, 0, 50f, 3.17f
47.62326, -122.34635, 29, 0, 0, 50f, 3.17f
47.62326, -122.34746, 8, 0, 0, 50f, 3.17f
47.62324, -122.34755, 9, 0, 0, 50f, 3.17f
47.62208, -122.34761, 11, 0, 0, 50f, 3.17f
47.62095, -122.34761, 28, 0, 0, 50f, 3.17f
47.62093, -122.34761, 20, 0, 0, 50f, 3.17f
47.62086, -122.34761, 26, 0, 0, 50f, 3.17f
47.62078, -122.34761, 19, 0, 0, 50f, 3.17f
47.62071, -122.3477, 15, 0, 0, 50f, 3.17f
47.61979, -122.34888, 16, 0, 0, 50f, 3.17f
47.61979, -122.3489, 13, 0, 0, 50f, 3.17f
47.61972, -122.34899, 21, 0, 0, 50f, 3.17f
47.61964, -122.34901, 22, 0, 0, 50f, 3.17f
47.61955, -122.34914, 15, 0, 0, 50f, 3.17f
47.61942, -122.34929, 25, 0, 0, 50f, 3.17f
47.61887, -122.35002, 25, 0, 0, 50f, 3.17f
47.61865, -122.3503, 7, 0, 0, 50f, 3.17f
47.61857, -122.35042, 26, 0, 0, 50f, 3.17f
47.61824, -122.35079, 21, 0, 0, 50f, 3.17f
47.61766, -122.34986, 10, 0, 0, 50f, 3.17f
47.61711, -122.3489, 24, 0, 0, 50f, 3.17f
47.61655, -122.34798, 20, 0, 0, 50f, 3.17f
47.61599, -122.34703, 22, 0, 0, 50f, 3.17f
47.61556, -122.34626, 4, 0, 0, 50f, 3.17f
47.61548, -122.34613, 15, 0, 0, 50f, 3.17f
47.61545, -122.34609, 27, 0, 0, 50f, 3.17f
47.61543, -122.34607, 7, 0, 0, 50f, 3.17f
47.61468, -122.34478, 26, 0, 0, 50f, 3.17f
47.61445, -122.34437, 8, 0, 0, 50f, 3.17f
47.61395, -122.34349, 26, 0, 0, 50f, 3.17f
47.61316, -122.3422, 28, 0, 0, 50f, 3.17f
47.61239, -122.34092, 10, 0, 0, 50f, 3.17f
47.61164, -122.33961, 15, 0, 0, 50f, 3.17f
47.6109, -122.3389, 28, 0, 0, 50f, 3.17f
47.61076, -122.33877, 23, 0, 0, 50f, 3.17f
47.61067, -122.33871, 28, 0, 0, 50f, 3.17f
47.61058, -122.33862, 27, 0, 0, 50f, 3.17f
