47.602709,-122.334405,20, 20, 120, 3.0f, 3.12f
47.60242,-122.334303,20, 20, 120, 50f, 3.12f
47.602098,-122.334287,20, 20, 120, 50f, 3.12f
47.60187,-122.334223,20, 20, 120, 50f, 3.12f
47.601591,-122.334244,20, 20, 120, 50f, 3.12f
47.601244,-122.334244,20, 20, 120, 50f, 3.12f
47.600987,-122.334244,20, 20, 120, 50f, 3.12f
47.600806,-122.334266,20, 20, 120, 50f, 3.12f
47.600463,-122.334239,20, 20, 120, 3.0f, 3.12f
47.600068,-122.334244,20, 20, 120, 10f, 3.12f
47.599598,-122.334228,20, 20, 120, 20f, 3.5f
47.599226,-122.334223,20, 20, 120, 20f, 3.5f
47.598788,-122.33425,20, 20, 120, 20f, 3.5f
47.598408,-122.33426,20, 20, 120, 20f, 3.5f
47.597981,-122.33425,20, 20, 120, 20f, 3.5f
47.597164,-122.334266,20, 20, 120, 20f, 3.5f
47.596426,-122.334266,20, 20, 120, 20f, 3.5f
47.595803,-122.334437,20, 20, 120, 20f, 3.5f
47.594935,-122.334137,20, 20, 120, 20f, 3.5f
47.594009,-122.334545,20, 20, 120, 20f, 3.5f
47.593257,-122.335811,20, 20, 120, 20f, 3.5f
47.592215,-122.336411,20, 20, 120, 20f, 3.5f
47.590637,-122.337098,20, 20, 120, 20f, 3.5f
47.589103,-122.33772,20, 20, 120, 20f, 3.5f
47.588003,-122.33845,20, 20, 120, 20f, 3.5f
47.586976,-122.339244,20, 20, 120, 20f, 3.5f
47.586035,-122.339609,20, 20, 120, 20f, 3.5f
47.584617,-122.339587,20, 20, 120, 20f, 3.5f
47.583705,-122.33963,20, 20, 120, 20f, 3.7f
47.582431,-122.339544,20, 20, 120, 20f, 3.7f
47.580984,-122.339587,20, 20, 120, 20f, 3.7f
47.579623,-122.339458,20, 20, 120, 20f, 3.7f
47.57835,-122.339416,20, 20, 120, 20f, 3.7f
47.57641,-122.339587,20, 20, 120, 20f, 3.7f
47.574789,-122.339458,20, 20, 120, 20f, 3.7f
47.573023,-122.339287,20, 20, 120, 20f, 3.7f
47.572009,-122.33933,20, 20, 120, 20f, 3.7f
47.570793,-122.339201,20, 20, 120, 20f, 3.7f
47.570764,-122.337613,20, 20, 120, 20f, 3.7f
47.571546,-122.337184,20, 20, 120, 40f, 3.7f
47.571575,-122.335081,20, 20, 120, 40f, 3.7f
47.571575,-122.33212,20, 20, 120, 40f, 3.7f
47.571604,-122.329459,20, 20, 120, 40f, 3.7f
47.571662,-122.326756,20, 20, 120, 40f, 3.7f
47.571198,-122.324481,20, 20, 120, 40f, 3.7f
